HM_1,HM_2,HM_3,HM_4,HM_5,HM_6,HM_7,HM_8,HM_9,HM_10,HM_11,HM_12,HM_13,HM_14,HM_15,HM_16,HM_17
1.46745969582362,1.34230893289795,1.10911635756211,1.18762084379351,1.65386327469784,1.50108190109108,1.4007420748885,1.68018401675545,1.08835707702743,1.88870462813192,1.29637545222548,1.70656664265248,1.78079202558733,1.16512445309075,1.18433221719977,1.13513541701342,1.39558903919255
1.4614137764327,1.3486973538706,1.10978222431998,1.18643305936316,1.64463872058083,1.48753928251374,1.40889775588206,1.67464053263992,1.09128457585716,2.05204449168788,1.31264312176686,1.70406482645829,1.77411228030762,1.17894439432325,1.18077473213153,1.13453311205491,1.39896874170371
1.46070661861134,1.3316909466173,1.10921618574779,1.1929199622756,1.65549329581172,1.50122671263456,1.40235251583267,1.67121944718189,1.09052473601131,1.92796013996425,1.29220529163081,1.70340882097424,1.78524665437244,1.17614473580829,1.18555529838603,1.14652914325997,1.39761636243987
1.46514737767373,1.33862014945724,1.11037607899807,1.19311834652252,1.64743911629672,1.49093341917481,1.40452992000268,1.67058308506499,1.08840971861171,2.2523828317502,1.29494513315073,1.70444641371913,1.78165637444163,1.16815305308128,1.1800502777774,1.13811845650262,1.39457221186024
1.46728990637777,1.3409222174959,1.10862555706325,1.19001468080177,1.64591278362453,1.49551457704349,1.40310942898038,1.67820059183985,1.09132616632209,2.19469451321532,1.29428969173875,1.70731505854445,1.78120443955913,1.16423754137781,1.18253553857275,1.13605130776906,1.39824924532912
1.46774722409282,1.33994746623756,1.1086354344039,1.20584334070781,1.65151312610991,1.49868412145393,1.40280648598188,1.67139576705388,1.09102474168222,1.94421601685803,1.29818836028143,1.69968393429081,1.77972418075595,1.16719486233663,1.18573477660064,1.13381412008982,1.41063426888713
1.46131201013844,1.33978739936804,1.11171782720312,1.18833221751574,1.6460392921311,1.49270237774294,1.4011302665025,1.67612838441997,1.08866964472566,2.20978392219527,1.2987667292545,1.70529639125186,1.78325507535216,1.16604768244336,1.18324171473174,1.13501040705138,1.39356062900916
1.46238194906375,1.33854647110923,1.112689005986,1.19309095320506,1.65029478364564,1.49682864370716,1.4046645587449,1.67040151039005,1.08947212193671,2.03633696684783,1.29476310810106,1.70312587339382,1.77956020176294,1.17033386197903,1.18513445490833,1.14276959856737,1.39619286210439
1.46228803335561,1.33850405338695,1.10788344733789,1.19131986850609,1.64986761891321,1.49630462253174,1.40019071994154,1.67034893932341,1.08697968639888,2.35367320344301,1.29457902774877,1.69761172011267,1.78300918614045,1.17101656027438,1.18345491574655,1.13762041325126,1.40146619330896
1.46052101921264,1.34169356669424,1.11442881965544,1.18981599351917,1.65565124199751,1.4877127716851,1.40761152662672,1.66688177986478,1.09493605529396,2.14898100374134,1.29194094880039,1.7049756884073,1.7820779579094,1.16554440544189,1.17496512005734,1.13627119138019,1.39547279755611
1.45914841516005,1.33847180454195,1.11983851183755,1.18687770823316,1.6393101412853,1.48497885329777,1.40603317825599,1.66965104920029,1.0843449444878,1.99489112820075,1.3055951613429,1.69967351266905,1.78745894828868,1.16956845164417,1.18984158792676,1.15117414094268,1.39196301830625
1.45947024972071,1.3327350862925,1.10394266662531,1.18323919841174,1.65171137139053,1.49255508678878,1.40454856400726,1.66558619295286,1.09876612710859,2.34261404963224,1.2906149256419,1.71223269551517,1.78806710659373,1.1714564680192,1.17506206845844,1.14305012125375,1.40700990857709
1.46725760508337,1.33495465131472,1.10256137937037,1.19240671573116,1.64879302279191,1.49801666489821,1.40566642223078,1.67241878759865,1.08913992568857,2.43038539073113,1.29425644155967,1.70229329710598,1.78249206797803,1.17159063338238,1.18643948770623,1.14345037025081,1.39987475058914
1.46278497304756,1.34201729010309,1.10997837563794,1.18954655434722,1.64112525070989,1.48933652968825,1.40576844975782,1.67443341931648,1.08907622812651,2.28167356660283,1.29775278998861,1.70671634205493,1.78213771491103,1.16727229032555,1.18273231695334,1.13272961653846,1.39752845644734
1.46695428255411,1.33789694036657,1.11250809413965,1.19392754427753,1.64872940731764,1.49089356914545,1.40553899948065,1.67555005486123,1.08537233331122,2.03947067210281,1.29837637314137,1.70644769923452,1.77901644004319,1.16731248724713,1.17682514496632,1.13447036462046,1.39569089447278
1.46900360707882,1.3403738791507,1.11385491788849,1.19349491061506,1.64374794246024,1.49415561097546,1.40324969809106,1.67340163791157,1.08179273956018,2.18243990532025,1.29850005450793,1.69893407628001,1.78004101681032,1.16439441279305,1.1828486296248,1.13319126127599,1.39676189598976
1.46367747082064,1.3377220218293,1.11033746964602,1.18646195737098,1.6475832734117,1.49076055513463,1.40111936252251,1.67494845521657,1.08819851810926,2.4275195884678,1.29226052206305,1.70033432629097,1.78616591530853,1.16906029419852,1.18106191591067,1.13067544291134,1.40088318805705
1.46703059322532,1.34396015783049,1.11300720841902,1.18610373466298,1.63831786285681,1.48205775363389,1.39750207550164,1.67452337632929,1.09327717516859,2.32010764511805,1.30682847968982,1.70326687747407,1.77537846597082,1.17378379846836,1.17890592144478,1.12661408068752,1.39999748197961
1.46301974898253,1.33317691175117,1.10867596062503,1.19288638203949,1.65112309561253,1.4944343545757,1.40146613058831,1.67842018909636,1.09222194942195,1.51024811078683,1.30195868466595,1.71271567660282,1.77666680616832,1.17075258235648,1.18455307787923,1.12783993511032,1.39404020117174
1.46330365161903,1.33983667533473,1.10689572249991,1.1928154556338,1.6417432712839,1.49151740765224,1.40953908998572,1.6781522384313,1.08556582846396,2.25266274459265,1.30021215456749,1.70653317238251,1.78237183575798,1.17024240255517,1.17844654168746,1.13318151233604,1.39468324843945
1.46201221983789,1.33359265290473,1.11543623453566,1.18944556852191,1.64384980973369,1.47942210753367,1.40350329729717,1.67141055901468,1.08257016985123,2.10112789303426,1.29912674019406,1.70212723635133,1.78438923031405,1.17104461662651,1.18799486404956,1.14874981018587,1.39560473357537
1.4655454631921,1.33756877339964,1.11293817382508,1.1876564603933,1.63784229929674,1.49148167503777,1.40226567119963,1.67820734264725,1.09772174083285,2.42451984062739,1.28803226315953,1.71146616032132,1.78583852630194,1.15233795261619,1.18271902807025,1.13263873872861,1.39865226382344
1.46221186735609,1.3389785118649,1.11689939505958,1.19669445574207,1.65011716736703,1.49529615901141,1.40412238914792,1.67080550061629,1.09219395635206,1.89089086651879,1.29110966885545,1.70732040255227,1.77809800584171,1.1646233616266,1.1881618787637,1.14161959529522,1.39583828778873
1.4659247427318,1.33861765727289,1.11127075555687,1.19317800768832,1.64219880507662,1.49533007527996,1.40366626357084,1.67506631855777,1.08353956941276,2.35883697795374,1.29311976896826,1.70035978707896,1.78657957125486,1.1665555531467,1.18302272251703,1.13665147793689,1.3983926546121
1.46415133922815,1.34353049798297,1.11051759758524,1.18623072776667,1.63667740703967,1.4853402490809,1.41145054013552,1.67190789146688,1.08178588851738,1.99491330668823,1.31665494305123,1.71233117769509,1.77808732574188,1.16634451958629,1.18224382338226,1.13093329993535,1.39607335572246
1.46692288042618,1.3297976425508,1.11745795096769,1.19061462081126,1.6509870679655,1.48674597068905,1.40013455430492,1.67750848862729,1.08549244180009,1.9597345538864,1.29907609549683,1.7062989720054,1.77923329954791,1.16577739651166,1.17951082618379,1.13408697413531,1.39050931227882
1.45936796737352,1.33907469426439,1.12082239611339,1.18005912924504,1.63594743082238,1.49965962372961,1.39807362077811,1.67823240484644,1.09049192844361,2.36425539815501,1.29115622627288,1.70414311802555,1.79238563128386,1.14987946429576,1.18428542574781,1.13785282897498,1.39655151539325
1.47247006523255,1.33549587028726,1.11306441727173,1.1853904973875,1.64339397750379,1.48916413043924,1.39399468897996,1.67395919646423,1.09386920100804,1.50668661187578,1.2936998842274,1.71329831858941,1.78558663825803,1.16405038839848,1.19422704316049,1.12756623600428,1.39801255552612
1.46263164959913,1.34232135552794,1.11207033865097,1.1925359314879,1.64627606012929,1.49101110462604,1.40550712224019,1.67206782908735,1.08513492334868,2.27734939512803,1.30107426413842,1.70718051875911,1.78121689512155,1.16840129233205,1.17654760582486,1.138598849177,1.39434873298486
1.45804301697267,1.33492226431499,1.12849260411705,1.1995355679344,1.64232516939305,1.49664433170451,1.39875674275466,1.66291317473028,1.09326590443081,1.26697907554541,1.31602797615443,1.69131515575848,1.78610389575469,1.17246696557244,1.18957812111658,1.12624783002463,1.3774315867536
1.46517011276246,1.33790185474753,1.10816425567718,1.19369355489316,1.6462058681895,1.49186189525643,1.40531256012618,1.67222231815563,1.09069559541579,2.35496362186769,1.29410479439782,1.70566622019105,1.78368243329116,1.16979586191611,1.18103456995017,1.13930817917469,1.39350358498511
1.46114391153023,1.33807771176645,1.11305590317383,1.19026909751964,1.65037803516426,1.49018588224794,1.40397803514159,1.67807392007994,1.08476795647202,1.85344083172615,1.30087789772158,1.70243341252587,1.77717003349833,1.1724253126869,1.17810242534489,1.1353865239566,1.39326261788778
1.46325500142702,1.33018893871873,1.11009619360896,1.19029532427634,1.65213180826568,1.49021735795873,1.40426483471482,1.6761696167261,1.09151303053563,1.95724999122348,1.29796508749962,1.70359751546623,1.78192665696905,1.16886166721143,1.18461374759806,1.14280886063029,1.39326474015865
1.46241267519528,1.33692996579928,1.11221624155462,1.18985388484397,1.64427233442933,1.49314233756386,1.40653843971109,1.67598003894292,1.08471182747208,2.38732643369902,1.29448873571029,1.70102550864122,1.78499807284401,1.17234430070877,1.18170202041493,1.13988579666421,1.39702396190243
1.45739351724538,1.33524417404206,1.11159404536803,1.19225959601902,1.6427010156428,1.49323664114592,1.40485350867722,1.66992641172586,1.09047660073999,2.38645742394662,1.29853300604673,1.698919015849,1.79012063269296,1.1683814986688,1.18221420161771,1.13583269567574,1.39105854558174
