B_Cell_1,T_B_Cells,T_Cell_1,Macrophage_1,T_Cell_2,Macrophage_2,Endothelial,Vimentin-hi,Small_Circular,Small_Elongated,Fibronectin-hi,Large_Elongated,SMA_hi_Vimentin,Hypoxic,Apoptotic,Proliferative,p53+_EGFR+,Basal_CK,CK7+_CKhi_Cadherin,CK7+_CK+,Epithelial-low,CK-low_HR-low,CK+_HR-hi,CK+_HR+,CK_HRlow_p53+,Cklow_HR-hi,Myoepithelial
2.424161621,2.160920186,4.001862266,3.202312871,0,0,3.274863538,4.697478629,2.337011445,3.65228188,3.08173894,1.382768936,3.115162695,2.160920186,0,2.461950182,1.382768936,3.516307844,4.354044784,2.683798931,1.683798931,2.744496772,2.762980177,2.914247853,2.95097066,0,2.780708944
3.259312557,1.715244513,4.048691787,2.812154526,3.227127874,0,3.742594121,4.421108225,2.414214517,3.46343254,3.554093604,1.414214517,2.644663438,1.414214517,0,2.455607202,1.414214517,0,4.389186511,0,1.715244513,2.644663438,2.192365767,2.644663438,2.692968118,1.414214517,0
0,1.971425697,3.811845475,3.17554568,0,0,3.8635203,3.554057137,3.382202931,4.393029624,2.767305715,1.369365706,1.670395702,1.670395702,1.369365706,2.887879646,0,3.604894153,1.369365706,3.17554568,3.154695541,3.041463564,2.624638211,2.816523738,4.51362848,0,1.670395702
0,1.757843843,3.058873839,2.871787196,1.456813848,0,2.66093383,3.080063138,3.354440939,4.040012622,3.406203854,0,1.933935103,1.757843843,2.411056357,2.757843843,0,4.795270341,0,0,3.249205537,1.456813848,0,2.234965098,0,0,1.933935103
3.920081243,3.523366326,4.806285085,3.203586894,1.848199236,0,3.827444015,2.889591921,3.450259227,4.028133834,1.848199236,0,0,3.170418531,3.682831843,2.732805817,1.371077981,1.371077981,2.149229232,2.786051329,2.87622796,0,0,2.070047986,0,0,1.848199236
3.553870476,3.654540638,4.795106471,3.631475334,2.016051381,0,3.373032782,3.451417888,3.03724068,4.072002787,0,0,1.41399139,0,1.891112645,2.317081377,0,1.41399139,0,2.41399139,2.876389388,2.794202632,3.289052653,2.016051381,3.674062778,0,0
2.532347505,4.016647345,4.53559256,3.185560019,0,0,3.421649208,3.209041115,3.361651278,4.150395602,1.930287514,0,0,0,0,2.23131751,1.930287514,0,0,0,2.775385554,3.00946876,0,0,0,0,0
3.244878754,2.190521092,4.051856331,3.366612351,0,0,3.704625913,3.717721211,3.621884856,4.259942501,3.833973768,0,2.968672342,0,0,0,0,0,3.385497695,0,0,2.190521092,0,0,2.190521092,0,0
0,1.887297829,3.449590694,3.209517124,2.063389088,0,3.276463914,2.285237838,3.342142689,4.269314872,2.790387816,1.586267834,0,3.063389088,3.063389088,2.66544908,0,0,0,2.816716755,4.241406268,2.887297829,0,2.285237838,3.130335878,0,0
0,0,0,2.77179647,0,0,3.027068975,3.810549059,2.674886457,3.682065042,3.667587218,0,2.197765203,2.373856462,2.595705211,1.595705211,0,1.896735207,0,2.674886457,0,3.072826466,2.197765203,4.518430669,0,1.595705211,2.440803251
0,1.891977337,3.711521273,3.642099864,2.704890694,0,3.208995438,3.170730938,2.135015386,3.208995438,1.590947342,0,0,0,4.786846994,3.311106645,3.483041944,3.867409146,0,1.590947342,1.590947342,2.962015204,1.289917346,3.115992149,2.436045382,1.891977337,2.193007333
2.259430478,2.639641719,4.081598557,4.61045333,0,0,3.022858471,2.706588509,3.276463817,4.022858471,1.560460473,0,3.20391315,0,2.736551732,1.560460473,1.560460473,4.19594422,0,0,2.706588509,2.514702983,1.861490469,0,2.037581728,0,2.162520465
3.02416744,3.317644298,4.831048832,3.692103211,1.561769443,0,3.30995747,2.959709451,3.233867301,3.95270455,2.038890697,0,0,0,0,0,0,0,0,0,0,2.603162128,0,2.038890697,1.561769443,0,0
0,1.713172046,2.956210095,2.991925647,0,0,2.917292029,3.969649253,3.197471886,3.922687061,1.889263305,0,0,0,1.412142051,2.111112055,0,0,1.713172046,2.690895652,1.889263305,3.197471886,4.816633668,3.084239909,2.453534736,2.315232038,2.014202042
3.05669427,5.003120677,3.369005276,2.255061923,0,0,2.857121915,3.100159963,1.954031928,3.269302362,2.322008713,0,3.518303358,0,1.954031928,0,1.777940669,3.518303358,0,2.078970664,0,2.322008713,1.476910673,1.954031928,1.777940669,0,4.206884959
0,1.341835911,3.049406087,2.73977592,2.954619768,1.341835911,2.040805916,4.162693901,1.943895903,3.040805916,2.296078421,0,2.833197605,0,2.885903956,2.722047153,1.642865907,0,0,0,1.341835911,3.4062939,3.023077149,2.244925898,2.296078421,4.940845151,1.341835911
2.616433386,0,3.971364613,3.186308694,2.169275355,0,3.563727036,3.727983925,2.98881929,3.843217354,2.917463382,0,2.373395338,1.470305351,1.947426605,3.470305351,0,2.868245359,2.549486597,1.771335346,2.64639661,3.302814263,2.315403391,2.64639661,4.547309677,1.470305351,2.42454786
0,1.539046559,3.016167814,3.784559227,0,0,2.936986568,3.94216708,3.09534906,4.147572593,3.083114603,1.539046559,2.618227805,1.539046559,2.016167814,2.016167814,0,0,1.840076555,2.954019907,2.715137818,4.118830156,4.340450269,2.840076555,2.936986568,2.580439244,2.238016563
1.874925568,2.653076818,3.681105542,2.778015555,0,0,3.687838924,3.824315574,3.454709164,3.761416293,2.778015555,1.874925568,4.180276937,0,0,2.653076818,0,2.573895572,0,0,0,0,3.547023426,2.175955563,2.653076818,0,2.653076818
0,0,2.747513167,3.156637343,0,0,2.78372534,4.205329267,2.728208012,3.926114806,2.531913367,1.385785331,0,2.084755335,1.862906586,1.686815327,0,0,2.385785331,2.385785331,2.084755335,1.987845322,2.800758679,4.720239082,3.198698688,1.987845322,0
0,0,2.567216379,2.187005137,0,0,2.766788734,4.034577796,3.056236857,3.932079929,3.01951405,0,2.090095124,2.442277642,2.333133173,0,0,0,1.965156388,2.442277642,2.333133173,2.601978485,4.506735632,2.919398897,4.034577796,0,3.121503589
1.757856277,2.660946264,4.36208233,2.988305199,0,0,3.757856277,2.602954317,3.666341296,4.367450687,1.757856277,0,1.757856277,2.058886273,2.456826282,2.058886273,0,2.712098787,0,2.234977532,3.490250037,3.249217971,2.234977532,2.058886273,3.439097515,0,0
1.452824862,3.193187552,4.011533433,4.103132386,3.021026587,0,3.177100732,3.086293318,3.208699718,4.112741063,2.407067372,0,0,1.452824862,0,3.193187552,0,0,0,0,3.076074153,4.664745947,2.407067372,2.230976113,2.795247543,0,0
0,2.299841656,2.973257556,3.117501448,0,0,2.658863599,2.776962911,3.162313792,4.321030955,2.232894866,0,1.454743616,1.454743616,2.299841656,2.834954858,0,2.88610738,0,2.630834875,3.873044907,2.408986125,2.299841656,2.755773612,4.750310716,0,0
0,3.143377834,3.055422664,2.210324624,0,0,1.666256579,1.365226584,3.580070432,4.305244739,2.064196588,0,0,0,1.842347838,3.356452659,0,0,0,2.064196588,4.928944924,0,0,1.967286575,1.842347838,0,0
1.806991415,1.32987016,2.585142665,2.533990143,0,0,2.284112669,3.115199995,2.32987016,3.187202656,4.473821276,0,1.630900156,2.727810169,2.585142665,2.443813512,2.1749682,1.32987016,4.709356974,1.32987016,2.443813512,1.630900156,0,3.02006624,1.931930151,0,0
2.507540949,2.94119651,3.936600758,3.153804603,3.218745409,0,3.586722195,3.679476248,3.531674628,4.139564163,2.2645029,0,3.662442909,0,1.963472904,2.507540949,1.662442909,4.063843449,1.662442909,3.554537511,2.703835594,3.537504172,3.218745409,2.616685418,3.275226765,1.963472904,2.89289183
